Circuit ID,Source of ID,Names
MZprs,DHBA,MZ in presubicular cortex
MZprsr,DHBA,MZ in rostral presubicular cortex
MZprsc,DHBA,MZ in caudal presubicular cortex (postsubiculum)
MZrs,DHBA,MZ in retrosplenial cortex
MZIag,DHBA,MZ in agranular insular cortex
alMZ,DHBA,MZ in allocortex
MZhip,DHBA,MZ in hippocampal proper
MZhipr,DHBA,MZ in rostral hippocampal proper
MZhipc,DHBA,MZ in caudal hippocampal proper
MZsub,DHBA,MZ in subicular cortex
MZsubr,DHBA,MZ in rostral subicular cortex
MZsubc,DHBA,MZ in caudal subicular cortex
MZpir,DHBA,MZ in piriform cortex
MZiag,DHBA,MZ in agranular insular cortex
CP,DHBA,cortical plate
fCP,DHBA,CP in frontal neocortex
fCPfp,DHBA,CP in frontal polar cortex
fCPfpo,DHBA,outer CP in frontal polar cortex
fCPfpi,DHBA,inner CP in frontal polar cortex
fCPdm,DHBA,CP in dorsomedial frontal cortex
fCPdmo,DHBA,outer CP in dorsomedial frontal cortex
fCPdmi,DHBA,inner CP in dorsomedial frontal cortex
fCPdl,DHBA,CP in dorsolateral prefrontal cortex
fCPdlo,DHBA,outer CP in dorsolateral prefrontal cortex
fCPdli,DHBA,inner CP in dorsolateral prefrontal cortex
fCPvl,DHBA,CP in ventrolateral prefrontal cortex
fCPvlo,DHBA,outer CP in ventrolateral prefrontal cortex
fCPvli,DHBA,inner CP in ventrolateral prefrontal cortex
fCPor,DHBA,CP in orbital frontal cortex
fCPoro,DHBA,outer CP in orbital frontal cortex
fCPori,DHBA,inner CP in orbital frontal cortex
fCPm1,DHBA,CP in posterior frontal cortex (motor cortex)
fCPm1o,DHBA,outer CP in posteror frontal cortex (motor cortex)
fCPm1i,DHBA,inner CP in posteror frontal cortex (motor cortex)
pCP,DHBA,CP in parietal neocortex
pCPs1,DHBA,CP in primary somatosensory cortex
pCPs1o,DHBA,outer CP in primary somatosensory cortex
pCPs1i,DHBA,inner CP in primary somatosensory cortex
pCPdm,DHBA,CP in dorsomedial parietal cortex (area 7m)
pCPdmo,DHBA,outer CP in dorsomedial parietal cortex (area 7m)
pCPdmi,DHBA,inner CP in dorsomedial parietal cortex (area 7m)
pCPpd,DHBA,CP in posterosuperior (dorsal) parietal cortex
pCPpdo,DHBA,outer CP in posterosuperior (dorsal) parietal cortex
pCPpdi,DHBA,inner CP in posterosuperior (dorsal) parietal cortex
pCPpv,DHBA,CP in posteroinferior (ventral) parietal cortex
pCPpvo,DHBA,outer CP in posteroinferior (ventral) parietal cortex
pCPpvi,DHBA,inner CP in posteroinferior (ventral) parietal cortex
tCP,DHBA,CP in temporal neocortex
tCPdl,DHBA,CP in dorsolateral temporal cortex
tCPa1,DHBA,CP in primary auditory cortex
tCPa1o,DHBA,outer CP in primary auditory cortex
tCPa1i,DHBA,inner CP in primary auditory cortex
tCPsl,DHBA,CP in superolateral temporal cortex
tCPslo,DHBA,outer CP in superolateral temporal cortex
tCPsli,DHBA,inner CP in superolateral temporal cortex
tCPps,DHBA,CP in polysensory temporal cortex
tCPpi,DHBA,CP in parainsualr temporal cortex
tCPvl,DHBA,CP in ventrolateral temporal cortex
tCPml,DHBA,CP in midlateral temporal cortex
tCPil,DHBA,CP in inferolateral temporal cortex
tCPilo,DHBA,outer CP in inferolateral temporal cortex
tCPili,DHBA,inner CP in inferolateral temporal cortex
tCPmi,DHBA,CP in midinferior temporal cortex
tCPmio,DHBA,outer CP in midinferior temporal cortex
tCPmii,DHBA,inner CP in midinferior temporal cortex
tCP36,DHBA,CP in rostral midinferior temporal cortex (area 36)
tCP36o,DHBA,outer CP in (rostral) midinferior temporal cortex (area 36)
tCP36i,DHBA,inner CP in (rostral) midinferior temporal cortex (area 36)
tCPtf,DHBA,CP in caudal midinferior temporal cortex (area TF)
tCPtfo,DHBA,outer CP in caudal midinferior temporal cortex (area TF)
tCPtfi,DHBA,inner CP in caudal midinferior temporal cortex (area TF)
tCPph,DHBA,CP in posterior parahippocampal cortex
tCPpho,DHBA,outer CP in posterior parahippocampal cortex
tCPphi,DHBA,inner CP in posterior parahippocampal cortex
tCPmt,DHBA,CP in medial temporal-occipital cortex
tCPmto,DHBA,outer CP in medial temporal-occipital cortex
tCPmti,DHBA,inner CP in medial temporal-occipital cortex
tCPlt,DHBA,CP in lateral temporal-occipital cortex
tCPlto,DHBA,outer CP in lateral temporal-occipital cortex
tCPlti,DHBA,inner CP in lateral temporal-occipital cortex
tCPtp,DHBA,CP in temporal polar cortex
tCPtpo,DHBA,outer CP in temporal polar cortex
tCPtpi,DHBA,inner CP in temporal polar cortex
oCP,DHBA,CP in occipital neocortex
oCPpro,DHBA,CP in area prostriata
oCPv1,DHBA,CP in primary visual cortex
oCPv1o,DHBA,outer CP in primary visual cortex
oCPv1i,DHBA,inner CP in primary visual cortex
oCPexs,DHBA,CP in extrastriate cortex
oCPdm,DHBA,CP in dorsomedial extrastriate cortex (V2)
oCPdmo,DHBA,outer CP in dorsomedial extrastriate cortex
oCPdmi,DHBA,inner CP in dorsomedial extrastriate cortex
oCPvm,DHBA,CP in ventromedial extrastriate cortex (VP)
oCPvmo,DHBA,outer CP in ventromedial extrastriate cortex
oCPvmi,DHBA,inner CP in ventromedial extrastriate cortex
oCPml,DHBA,CP in midlateral extrastriate cortex (area 19)
oCPmlo,DHBA,outer CP in midlateral extrastriate cortex
oCPmli,DHBA,inner CP in midlateral extrastriate cortex
iCP,DHBA,CP in insular neocortex
iCPdg,DHBA,CP in dysgranular insular cortex
iCPdgo,DHBA,outer CP in dysgranular insular cortex
iCPdgi,DHBA,inner CP in dysgranular insular cortex
iCPgr,DHBA,CP in granualr insular cortex
iCPgro,DHBA,outer CP in granular insular cortex
iCPgri,DHBA,inner CP in granular insular cortex
cCP,DHBA,CP in cingulate neocortex
cCPr,DHBA,CP in rostral cingulate cortex
cCPro,DHBA,outer CP in rostral cingulate cortex
cCPri,DHBA,inner CP in rostral cingulate cortex
cCPmi,DHBA,CP in midcingulate cortex
cCPmio,DHBA,outer CP in midcingulate cortex
cCPmii,DHBA,inner CP in midcingulate cortex
cCPc,DHBA,CP in caudal cingulate cortex
cCPco,DHBA,outer CP in caudal cingulate cortex
cCPci,DHBA,inner CP in caudal cingulate cortex
cCPsg,DHBA,CP in subgenual (subcallosal) cingulate cortex
cCPsgo,DHBA,outer CP in subgenual (subcallosal) cingulate cortex
cCPsgi,DHBA,inner CP in subgenual (subcallosal) cingulate cortex
peCP,DHBA,CP in periallocortex
CPpc,DHBA,CP in perirhinal cortex
CPpcr,DHBA,CP in rostral perirhinal cortex
CPpcro,DHBA,outer CP in rostral perirhinal cortex
CPpcri,DHBA,inner CP in rostral perirhinal cortex
CPpcc,DHBA,CP in caudal perirhinal cortex
CPpcco,DHBA,outer CP in caudal perirhinal cortex
CPpcci,DHBA,inner CP in caudal perirhinal cortex
CPpas,DHBA,CP in parasubicular cortex
CPEC,DHBA,CP in entorhinal cortex
CPlec,DHBA,CP in lateral (anterior) entorhinal cortex
CPeo,DHBA,CP in olfactory entorhinal cortex
CPer,DHBA,CP in rostral entorhinal cortex
CPmec,DHBA,CP in medial (posterior) entorhinal cortex
CPec,DHBA,CP in caudal entorhinal cortex
CPprs,DHBA,CP in presubicular cortex
CPprsr,DHBA,CP in rostral presubicular cortex
CPprsc,DHBA,CP in caudal presubicular cortex (postsubiculum)
CPrs,DHBA,CP in retrosplenial cortex
CPrso,DHBA,outer CP in retrosplenial cortex
CPrsi,DHBA,inner CP in retrosplenial cortex
CPIag,DHBA,CP in agranular insular cortex
CPIago,DHBA,outer CP in agranular insular cortex
CPIagi,DHBA,inner CP in agranular insular cortex
alCP,DHBA,CP in allocortex
CPhip,DHBA,CP in hippocampal proper
CPhipr,DHBA,CP in rostral hippocampus
CPhipc,DHBA,CP in caudal hippocampus
CPsub,DHBA,CP in subicular cortex
CPsubr,DHBA,CP in rostral subicular cortex
CPsubc,DHBA,CP in caudal subicular cortex
CPpir,DHBA,CP in piriform cortex
CPiag,DHBA,CP in agranular insular cortex
SP,DHBA,subplate zone
fSP,DHBA,SP in frontal neocortex
fSPfp,DHBA,SP in frontal polar cortex
fSPdm,DHBA,SP in dorsomedial frontal cortex
fSPdl,DHBA,SP in dorsolateral prefrontal cortex
fSPvl,DHBA,SP in ventrolateral prefrontal cortex
fSPor,DHBA,SP in orbital frontal cortex
fSPm1,DHBA,SP in posteror frontal cortex (motor cortex)
pSP,DHBA,SP in parietal neocortex
pSPs1,DHBA,SP in primary somatosensory cortex
pSPdm,DHBA,SP in dorsomedial parietal cortex (area 7m)
pSPpd,DHBA,SP in posterosuperior (dorsal) parietal cortex
pSPpv,DHBA,SP in posteroinferior (ventral) parietal cortex
tSP,DHBA,SP in temporal neocortex
tSPdl,DHBA,SP in dorsolateral temporal cortex
tSPa1,DHBA,SP in primary auditory cortex
tSPsl,DHBA,SP in superolateral temporal cortex
tSPps,DHBA,SP in polysensory temporal cortex
tSPpi,DHBA,SP in parainsular temporal cortex
tSPvl,DHBA,SP in ventrolateral temporal cortex
tSPml,DHBA,SP in midlateral temporal cortex
tSPil,DHBA,SP in inferolateral temporal cortex
tSPmi,DHBA,SP in midinferior temporal cortex
tSP36,DHBA,SP in rostral midinferior temporal cortex (area 36)
tSPtf,DHBA,SP in caudal midinferior temporal cortex (area TF)
tSPph,DHBA,SP in posterior parahippocampal cortex
tSPmt,DHBA,SP in medial temporal-occipital cortex
tSPlt,DHBA,SP in lateral temporal-occipital cortex
tSPtp,DHBA,SP in temporal polar cortex
oSP,DHBA,SP in occipital neocortex
oSPpro,DHBA,SP in area prostriata
oSPv1,DHBA,SP in primary visual cortex
oSPexs,DHBA,SP in extrastriate cortex
oSPdm,DHBA,SP in dorsomedial extrastriate cortex (V2)
oSPvm,DHBA,SP in ventromedial extrastriate cortex (VP)
oSPml,DHBA,SP in midlateral extrastriate cortex (area 19)
iSP,DHBA,SP in insular neocortex
iSPdg,DHBA,SP in dysgranular insular cortex
iSPgr,DHBA,SP in granular insular cortex
cSP,DHBA,SP in cingulate neocortex
