Circuit ID,Source of ID,Names
tSZtp,DHBA,SZ in temporal polar cortex
oSZ,DHBA,SZ in occipital neocortex
oSZpro,DHBA,SZ in area prostriata
oSZproo,DHBA,outer SZ in area prostriata
oSZproop,DHBA,outer plexiform zone in area prostriata
oSZproi,DHBA,inner SZ in area prostriata
oSZproip,DHBA,inner plexiform zone in area prostriata
oSZv1,DHBA,SZ in primary visual cortex
oSZv1o,DHBA,outer SZ in primary visual cortex
oSZv1op,DHBA,outer plexiform zone in primary visual cortex
oSZv1i,DHBA,inner SZ in primary visual cortex
oSZv1ip,DHBA,inner plexiform zone in primary visual cortex
oSZexs,DHBA,SZ in extrastriate cortex
oSZdm,DHBA,SZ in dorsomedial extrastriate cortex (V2)
oSZdmo,DHBA,outer SZ in dorsomedial extrastriate cortex
oSZdmi,DHBA,inner SZ in dorsomedial extrastriate cortex
oSZvm,DHBA,SZ in ventromedial extrastriate cortex (VP)
oSZvmo,DHBA,outer SZ in ventromedial extrastriate cortex
oSZvmi,DHBA,inner SZ in ventromedial extrastriate cortex
oSZml,DHBA,SZ in midlateral extrastriate cortex (area 19)
oSZmlo,DHBA,outer SZ in midlateral extrastriate cortex
oSZmli,DHBA,inner SZ in midlateral extrastriate cortex
oSZexso,DHBA,outer SZ in extrastriate cortex
oSZexsop,DHBA,outer plexiform zone in extrastriate cortex
oSZexsi,DHBA,inner SZ in extrastriate cortex
oSZexsip,DHBA,inner plexiform zone in extrastriate cortex
cSZ,DHBA,SZ in cingulate neocortex
cSZr,DHBA,SZ in rostral cingulate cortex
cSZmi,DHBA,SZ in midcingulate cortex
cSZc,DHBA,SZ in caudal cingulate cortex
cSZsg,DHBA,SZ in subgenual cingulate cortex
peSZ,DHBA,SZ in periallocortex
seSZ,DHBA,SZ in septal region
VZ,DHBA,ventricular zone
fVZ,DHBA,VZ in frontal neocortex
fVZfp,DHBA,VZ in frontal polar cortex
fVZdm,DHBA,VZ in dorsomedial frontal cortex
fVZdl,DHBA,VZ in dorsolateral prefrontal cortex
fVZdlo,DHBA,outer VZ in dorsolateral prefrontal cortex
fVZdli,DHBA,inner VZ in dorsolateral prefrontal cortex
fVZvl,DHBA,VZ in ventrolateral prefrontal cortex
fVZor,DHBA,VZ in orbital frontal cortex
fVZm1,DHBA,VZ in posteror frontal cortex (motor cortex)
fVZm1o,DHBA,outer VZ in posteror frontal cortex (motor cortex)
fVZm1i,DHBA,inner VZ in posteror frontal cortex (motor cortex)
pVZ,DHBA,VZ in parietal neocortex
pVZs1,DHBA,VZ in primary somatosensory cortex
pVZs1o,DHBA,outer VZ in primary somatosensory cortex
pVZs1i,DHBA,inner VZ in primary somatosensory cortex
pVZdm,DHBA,VZ in dorsomedial parietal cortex (area 7m)
pVZpd,DHBA,VZ in posterosuperior (dorsal) parietal cortex
pVZpv,DHBA,VZ in posteroinferior (ventral) parietal cortex
pVZpvo,DHBA,outer VZ in posteroinferior (ventral) parietal cortex
pVZpvi,DHBA,inner VZ in posteroinferior (ventral) parietal cortex
tVZ,DHBA,VZ in temporal neocortex
tVZdl,DHBA,VZ in dorsolateral temporal cortex
tVZa1,DHBA,VZ in primary auditory cortex
tVZsl,DHBA,VZ in superolateral temporal cortex
tVZps,DHBA,VZ in polysensory temporal cortex
tVZpi,DHBA,VZ in parainsular temporal cortex
tVZvl,DHBA,VZ in ventrolateral temporal cortex
tVZml,DHBA,VZ in midlateral temporal cortex
tVZil,DHBA,VZ in inferolateral temporal cortex
tVZilo,DHBA,outer VZ in inferolateral temporal cortex
tVZili,DHBA,inner VZ in inferolateral temporal cortex
tVZmi,DHBA,VZ in midinferior temporal cortex
tVZ36,DHBA,VZ in rostral midinferior temporal cortex (area 36)
tVZtf,DHBA,VZ in caudal midinferior temporal cortex (area TF)
tVZtfo,DHBA,outer VZ in caudal midinferior temporal cortex (area TF)
tVZtfi,DHBA,inner VZ in caudal midinferior temporal cortex (area TF)
tVZph,DHBA,VZ in posterior parahippocampal cortex
tVZpho,DHBA,outer VZ in posterior parahippocampal cortex
tVZphi,DHBA,inner VZ in posterior parahippocampal cortex
tVZmt,DHBA,VZ in medial temporal-occipital cortex
tVZlt,DHBA,VZ in lateral temporal-occipital cortex
tVZtp,DHBA,VZ in temporal polar cortex
oVZ,DHBA,VZ in occipital neocortex
oVZpro,DHBA,VZ in area prostriata
oVZv1,DHBA,VZ in primary visual cortex
oVZv1o,DHBA,outer VZ in primary visual cortex
oVZv1i,DHBA,inner VZ in primary visual cortex
oVZexs,DHBA,VZ in extrastriate cortex
oVZdm,DHBA,VZ in dorsomedial extrastriate cortex (V2)
oVZvm,DHBA,VZ in ventromedial extrastriate cortex (VP)
oVZml,DHBA,VZ in midlateral extrastriate cortex (area 19)
cVZ,DHBA,VZ in cingulate neocortex
cVZr,DHBA,VZ in rostral cingulate neocortex
cVZmi,DHBA,VZ in midcingulate neocortex
cVZc,DHBA,VZ in caudal cingulate neocortex
cVZsg,DHBA,VZ in subgenual cingulate neocortex
peVZ,DHBA,VZ in periallocortex
VZpc,DHBA,VZ in perirhinal cortex
VZpcr,DHBA,VZ in rostral perirhinal cortex
VZpcc,DHBA,VZ in caudal perirhinal cortex
VZEC,DHBA,VZ in entorhinal cortex
VZmec,DHBA,VZ in medial (posterior) entorhinal cortex
VZec,DHBA,VZ in caudal entorhinal cortex
VZlec,DHBA,VZ in lateral (anterior) entorhinal cortex
VZer,DHBA,VZ in rostral entorhinal cortex
VZprs,DHBA,VZ in presubicular cortex
VZprsr,DHBA,VZ in rostral presubicular cortex
VZprsc,DHBA,VZ in caudal presubicular cortex
VZrs,DHBA,VZ in retrosplenial cortex
alVZ,DHBA,VZ in allocortex
VZhip,DHBA,VZ in hippocampal proper
VZhipr,DHBA,VZ in rostal hippocampal proper
VZhipc,DHBA,VZ in caudal hippocampal proper
VZsub,DHBA,VZ in subicular cortex
VZsubr,DHBA,VZ in rostral subicular cortex
VZsubc,DHBA,VZ in caudal subicular cortex
GE,DHBA,Ganglionic eminence (VZ in basal nuclei)
LGEVZ,DHBA,LGE-VZ border region
LGE,DHBA,lateral ganglionic eminence
LGEo,DHBA,outer portion of lateral ganglionic eminence
LGEi,DHBA,inner portion of lateral ganglionic eminence
LMGE,DHBA,MGE-Lateral region
MGE,DHBA,medial ganglionic eminence
MGEo,DHBA,outer portion of medial ganglionic eminence
MGEi,DHBA,inner portion of medial ganglionic eminence
CGE,DHBA,caudal ganglionic eminence
CGEo,DHBA,outer portion of caudal ganglionic eminence
CGEi,DHBA,inner portion of caudal ganglionic eminence
seVZ,DHBA,VZ in septal region
scVZ,DHBA,VZ in subcallosal region
paVZ,DHBA,VZ in postamygdaloid region
thVZ,DHBA,VZ in thalamic region
hyVZ,DHBA,VZ in hypothalamic portion
RMS,DHBA,rostral migratory stream
RMSv,DHBA,vertical portion of rostral migratory stream
RMSvv,DHBA,VZ part of RMSv
RMSvg,DHBA,GE part of RMSv
RMSvs,DHBA,SZ part of RMSv
RMSh,DHBA,horizontal portion of rostral migratory stream
RMShv,DHBA,VZ part of RMSh
RMShg,DHBA,GE part of RMSh
RMShs,DHBA,SZ part of RMSh
CalS,DHBA,callosal sling
DHTC,DHBA,dentatohippocampal transient cell zone
IPTC,DHBA,interpallidal transient cell zone
OlfP,DHBA,olfactory peduncle
PFG,DHBA,perifornical gray zone
PPL,DHBA,primordial plexiform layer
ScG,DHBA,subcallosal gray zone
TCete,DHBA,transient cell zone in external capsule
TCexc,DHBA,transient cell zone in extreme capsule
Tel,DHBA,telencephalon
Cx,DHBA,cerebral cortex
Cx.L1,collection,layer I of cerebral cortex
Cx.L2_3aIT,makeshift,Cerebral cortical intratelencephalic pyramidal neurons in layer 2 and layer 3A
Cx.L3bIT,makeshift,Cerebral cortical intratelencephalic pyramidal neurons in layer 3B
Cx.L4,collection,layer IV of cerebral cortex
Cx.L4PY,makeshift,Cerebral cortical pyramidal neuron i n layer 4
Cx.L4ST,makeshift,Cerebral cortical spiny stellates neuron in layer 4
Cx.L5,collection,layer V of cerebral cortex
Cx.L5IT,makeshift,Cerebral cortical intratelencephalic pyramidal neurons in layer 5
Cx.L5PT,makeshift,"Cerebral cortical pyramidal tract neurons in layer 5;
extratelencephalic (ET)"
Cx.L5IN,makeshift,Cerebral cortical inter neurons in layer 5
Cx.L6,collection,layer VI of cerebral cortex
Cx.L6IT,makeshift,Cerebral cortical intratelencephalic pyramidal neurons in layer 6
Cx.L6CT,makeshift,Cerebral cortical corticothalamic pyramidal neurons in layer 6; extra telencephalic (ET)
Cx.L6CLA,makeshift,Cerebral cortical corticoclaustral pyramidal neurons in layer 6
Cx.L6IN,makeshift,Cerebral cortical inter neurons in layer 6
NCx,DHBA,cerebral cortex
FCx,DHBA,frontal neocortex
dmPFC,"[Krueger, 2019]","dmPFC, dorsomedial prefrontal cortex"
dlPFC,collection,the dorsolateral PFC
PFC,DHBA,prefromtal cortex
A10,DHBA,frontal polar cortex (area 10)
A10m,DHBA,medial subdivision of area 10
A10m1,DHBA,layer I of area 10m
A10m2,DHBA,layer II of area 10m
A10m3,DHBA,layer III of area 10m
A10m4,DHBA,layer IV of area 10m
A10m5,DHBA,layer V of area 10m
A10m6,DHBA,layer VI of area 10m
A10l,DHBA,lateral subdivision of area 10
A10l1,DHBA,layer I of area 10l
A10l2,DHBA,layer II of area 10l
A10l3,DHBA,layer III of area 10l
A10l4,DHBA,layer IV of area 10l
A10l5,DHBA,layer V of area 10l
A10l6,DHBA,layer VI of area 10l
A10o,DHBA,orbital subdivision of area 10
A10o1,DHBA,layer I of area 10o
A10o2,DHBA,layer II of area 10o
A10o3,DHBA,layer III of area 10o
A10o4,DHBA,layer IV of area 10o
A10o5,DHBA,layer V of area 10o
A10o6,DHBA,layer VI of area 10o
DFC,DHBA,dorsolateral prefrontal cortex
A8,DHBA,caudal portion of DFC (area 8)
A8aD,"[Paxinos, 2012]",A8aD area 8a of cortex dorsal part
A8aV,"[Paxinos, 2012]",A8aV area 8a of cortex ventral part
A8C,"[Paxinos, 2012]",A8C area 8 of cortex caudal part
A8.L5PT,makeshift,"A8, pyramidal tract neurons in layer 8"
FEF,makeshift,frontal eyes fields
A8ld,DHBA,laterodorsal subdivision of area 8
A8ld1,DHBA,layer I of area 8ld
A8ld2,DHBA,layer II of area 8ld
A8ld3,DHBA,layer III of area 8ld
A8ld4,DHBA,layer IV of area 8ld
A8ld5,DHBA,layer V of area 8ld
A8ld6,DHBA,layer VI of area 8ld
A8lv,DHBA,lateroventral subdivision of area 8
A8lv1,DHBA,layer I of area 8lv
A8lv2,DHBA,layer II of area 8lv
A8lv3,DHBA,layer III of area 8lv
A8lv4,DHBA,layer IV of area 8lv
A8lv5,DHBA,layer V of area 8lv
A8lv6,DHBA,layer VI of area 8lv
A8m,DHBA,medial subdivision of area 8
A8m1,DHBA,layer I of area 8m
A8m2,DHBA,layer II of area 8m
A8m3,DHBA,layer III of area 8m
A8m4,DHBA,layer IV of area 8m
A8m5,DHBA,layer V of area 8m
A8m6,DHBA,layer VI of area 8m
A9,DHBA,rostrodorsal portion of DFC (area 9)
A9l,DHBA,lateral subdivision of area 9
A9l1,DHBA,layer I of area 9l
A9l2,DHBA,layer II of area 9l
A9l3,DHBA,layer III of area 9l
A9l4,DHBA,layer IV of area 9l
A9l5,DHBA,layer V of area 9l
A9l6,DHBA,layer VI of area 9l
A9m,DHBA,medial subdivision of area 9
A9m1,DHBA,layer I of area 9m
A9m2,DHBA,layer II of area 9m
A9m3,DHBA,layer III of area 9m
A9m4,DHBA,layer IV of area 9m
A9m5,DHBA,layer V of area 9m
A9m6,DHBA,layer VI of area 9m
A9/46,DHBA,intermediate portion of DFC (area 9/46)
A9/46d,DHBA,dorsal subdivision of A9/46
A9/46d1,DHBA,layer I of area 9/46d
A9/46d2,DHBA,layer II of area 9/46d
A9/46d3,DHBA,layer III of area 9/46d
A9/46d4,DHBA,layer IV of area 9/46d
A9/46d5,DHBA,layer V of area 9/46d
A9/46d6,DHBA,layer VI of area 9/46d
A9/46v,DHBA,ventral subdivision of A9/46
A9/46v1,DHBA,layer I of area 9/46v
A9/46v2,DHBA,layer II of area 9/46v
A9/46v3,DHBA,layer III of area 9/46v
A9/46v4,DHBA,layer IV of area 9/46v
A9/46v5,DHBA,layer V of area 9/46v
A9/46v6,DHBA,layer VI of area 9/46v
A46,DHBA,rostroventral portion of DFC (area 46)
A46d,DHBA,dorsal subdivision of area 46
A46d1,DHBA,layer I of area 46d
A46d2,DHBA,layer II of area 46d
A46d3,DHBA,layer III of area 46d
A46d4,DHBA,layer IV of area 46d
A46d5,DHBA,layer V of area 46d
A46d6,DHBA,layer VI of area 46d
A46v,DHBA,ventral subdivision of area 46
A46v1,DHBA,layer I of area 46v
A46v2,DHBA,layer II of area 46v
A46v3,DHBA,layer III of area 46v
A46v4,DHBA,layer IV of area 46v
A46v5,DHBA,layer V of area 46v
A46v6,DHBA,layer VI of area 46v
VFC,DHBA,"vlPFC, ventrolateral prefrontal cortex"
A44,DHBA,caudal portion of VFC (area 44)
A44d,DHBA,dorsal subdivision of area 44
A44d1,DHBA,layer I of area 44d
A44d2,DHBA,layer II of area 44d
A44d3,DHBA,layer III of area 44d
A44d4,DHBA,layer IV of area 44d
A44d5,DHBA,layer V of area 44d
A44d6,DHBA,layer VI of area 44d
A44v,DHBA,ventral subdivision of area 44
A44v1,DHBA,layer I of area 44v
A44v2,DHBA,layer II of area 44v
A44v3,DHBA,layer III of area 44v
A44v4,DHBA,layer IV of area 44v
A44v5,DHBA,layer V of area 44v
A44v6,DHBA,layer VI of area 44v
A44op,DHBA,opercular subdivision of area 44
A44op1,DHBA,layer I of area 44op
A44op2,DHBA,layer II of area 44op
A44op3,DHBA,layer III of area 44op
A44op4,DHBA,layer IV of area 44op
A44op5,DHBA,layer V of area 44op
A44op6,DHBA,layer VI of area 44op
A45,DHBA,rostral portion of VFC (area 45)
A45r,DHBA,rostral subdivision of A45
A45r1,DHBA,layer I of area 45r
A45r2,DHBA,layer II of area 45r
A45r3,DHBA,layer III of area 45r
A45r4,DHBA,layer IV of area 45r
A45r5,DHBA,layer V of area 45r
A45r6,DHBA,layer VI of area 45r
A45c,DHBA,caudal subdivision of A45
A45c1,DHBA,layer I of area 45c
A45c2,DHBA,layer II of area 45c
A45c3,DHBA,layer III of area 45c
A45c4,DHBA,layer IV of area 45c
A45c5,DHBA,layer V of area 45c
A45c6,DHBA,layer VI of area 45c
A45op,DHBA,opercular subdivision of A45
A45op1,DHBA,layer I of area 45op
A45op2,DHBA,layer II of area 45op
A45op3,DHBA,layer III of area 45op
A45op4,DHBA,layer IV of area 45op
A45op5,DHBA,layer V of area 45op
A45op6,DHBA,layer VI of area 45op
OFC,DHBA,orbitofrontal cotex
OFCm,DHBA,medial orbital frontal cortex (area 14)
A14r,DHBA,rostral subdivision of area 14
A14r1,DHBA,layer I of area 14r
A14r2,DHBA,layer II of area 14r
A14r3,DHBA,layer III of area 14r
A14r4,DHBA,layer IV of area 14r
A14r5,DHBA,layer V of area 14r
A14r6,DHBA,layer VI of area 14r
A14c,DHBA,caudal subdivision of area 14
A14c1,DHBA,layer I of area 14c
A14c2,DHBA,layer II of area 14c
A14c3,DHBA,layer III of area 14c
A14c4,DHBA,layer IV of area 14c
A14c5,DHBA,layer V of area 14c
A14c6,DHBA,layer VI of area 14c
OFCi,DHBA,intermediate orbital frontal cortex
A11,DHBA,rostral division of OFCi (area 11)
A11m,DHBA,medial subdivision of area 11
A11m1,DHBA,layer I of area 11m
A11m2,DHBA,layer II of area 11m
A11m3,DHBA,layer III of area 11m
A11m4,DHBA,layer IV of area 11m
A11m5,DHBA,layer V of area 11m
A11m6,DHBA,layer VI of area 11m
A11l,DHBA,lateral subdivision of area 11
A11l1,DHBA,layer I of area 11l
A11l2,DHBA,layer II of area 11l
A11l3,DHBA,layer III of area 11l
A11l4,DHBA,layer IV of area 11l
A11l5,DHBA,layer V of area 11l
A11l6,DHBA,layer VI of area 11l
A13,DHBA,caudal division of OFCi (area 13)
A13m,DHBA,medial subdivision of area 13
A13m1,DHBA,layer I of area 13m
A13m2,DHBA,layer II of area 13m
A13m3,DHBA,layer III of area 13m
A13m4,DHBA,layer IV of area 13m
A13m5,DHBA,layer V of area 13m
A13m6,DHBA,layer VI of area 13m
A13l,DHBA,lateral subdivision of area 13
A13l1,DHBA,layer I of area 13l
A13l2,DHBA,layer II of area 13l
A13l3,DHBA,layer III of area 13l
A13l4,DHBA,layer IV of area 13l
A13l5,DHBA,layer V of area 13l
A13l6,DHBA,layer VI of area 13l
OFCl,DHBA,lateral orbital frontal cortex (area 12/47)
A12/47m,DHBA,medial subdivision of area 12/47
A12/47m1,DHBA,layer I of area 12/47m
A12/47m2,DHBA,layer II of area 12/47m
A12/47m3,DHBA,layer III of area 12/47m
A12/47m4,DHBA,layer IV of area 12/47m
A12/47m5,DHBA,layer V of area 12/47m
A12/47m6,DHBA,layer VI of area 12/47m
A12/47l,DHBA,lateral subdivision of area 12/47
A12/47l1,DHBA,layer I of area 12/47l
A12/47l2,DHBA,layer II of area 12/47l
A12/47l3,DHBA,layer III of area 12/47l
A12/47l4,DHBA,layer IV of area 12/47l
A12/47l5,DHBA,layer V of area 12/47l
A12/47l6,DHBA,layer VI of area 12/47l
PoFC,DHBA,posterior frontal cortex (motor cortex)
PoFC.L5,makeshift,"motor cortex, layer 5"
M1C,DHBA,"primary motor cortex (area M1, area 4)"
M1hf,DHBA,head and face region of M1
M1hf1,DHBA,layer I of area M1hf
M1hf2,DHBA,layer II of area M1hf
M1hf3,DHBA,layer III of area M1hf
M1hf5,DHBA,layer V of area M1hf
M1hf6,DHBA,layer VI of area M1hf
M1ul,DHBA,upper limb region of M1
M1ul1,DHBA,layer I of area M1ul
M1ul2,DHBA,layer II of area M1ul
M1ul3,DHBA,layer III of area M1ul
M1ul5,DHBA,layer V of area M1ul
M1ul6,DHBA,layer VI of area M1ul
M1tr,DHBA,trunk region of M1
M1tr1,DHBA,layer I of area M1tr
M1tr2,DHBA,layer II of area M1tr
M1tr3,DHBA,layer III of area M1tr
M1tr5,DHBA,layer V of area M1tr
M1tr6,DHBA,layer VI of area M1tr
M1lm,DHBA,lower limb region of M1
M1lm1,DHBA,layer I of area M1lm
M1lm2,DHBA,layer II of area M1lm
M1lm3,DHBA,layer III of area M1lm
M1lm5,DHBA,layer V of area M1lm
M1lm6,DHBA,layer VI of area M1lm
PMC,DHBA,premotor cortex (area 6)
A6ld,DHBA,laterodorsal subdivision of area 6
A6ld1,DHBA,layer I of area 6ld
A6ld2,DHBA,layer II of area 6ld
A6ld3,DHBA,layer III of area 6ld
A6ld5,DHBA,layer V of area 6ld
A6ld6,DHBA,layer VI of area 6ld
A6lv,DHBA,lateroventral subdivision of area 6
A6lv1,DHBA,layer I of area 6lv
A6lv2,DHBA,layer II of area 6lv
A6lv3,DHBA,layer III of area 6lv
A6lv5,DHBA,layer V of area 6lv
A6lv6,DHBA,layer VI of area 6lv
A6m,DHBA,medial subdivision of area 6 (area MII)
A6m1,DHBA,layer I of area 6m
A6m2,DHBA,layer II of area 6m
A6m3,DHBA,layer III of area 6m
A6m5,DHBA,layer V of area 6m
A6m6,DHBA,layer VI of area 6m
A6/32,DHBA,area 6/32
A6/32-1,DHBA,layer I of area 6/32
A6/32-2,DHBA,layer II of area 6/32
A6/32-3,DHBA,layer III of area 6/32
A6/32-4,DHBA,layer IV of area 6/32
A6/32-5,DHBA,layer V of area 6/32
A6/32-6,DHBA,layer VI of area 6/32
M1C-S1C,DHBA,primary motor-sensory cortex (samples)
PCx,DHBA,parietal neocortex
S1C,DHBA,"primary somatosensory cortex (area S1, area 3,1,2)"
S1hf,DHBA,head and face region of S1
S1hf1,DHBA,layer I of area S1hf
S1hf2,DHBA,layer II of area S1hf
S1hf3,DHBA,layer III of area S1hf
S1hf4,DHBA,layer IV of area S1hf
S1hf5,DHBA,layer V of area S1hf
S1hf6,DHBA,layer VI of area S1hf
S1ul,DHBA,upper limb region of S1
S1ul1,DHBA,layer I of area S1ul
S1ul2,DHBA,layer II of area S1ul
S1ul3,DHBA,layer III of area S1ul
S1ul4,DHBA,layer IV of area S1ul
S1ul5,DHBA,layer V of area S1ul
S1ul6,DHBA,layer VI of area S1ul
S1tr,DHBA,trunk region of S1
S1tr1,DHBA,layer I of area S1tr
S1tr2,DHBA,layer II of area S1tr
S1tr3,DHBA,layer III of area S1tr
S1tr4,DHBA,layer IV of area S1tr
S1tr5,DHBA,layer V of area S1tr
S1tr6,DHBA,layer VI of area S1tr
S1lm,DHBA,lower limb region of S1
S1lm1,DHBA,layer I of area S1lm
S1lm2,DHBA,layer II of area S1lm
S1lm3,DHBA,layer III of area S1lm
S1lm4,DHBA,layer IV of area S1lm
S1lm5,DHBA,layer V of area S1lm
S1lm6,DHBA,layer VI of area S1lm
ScC,DHBA,"subcentral cortex (gustatory cortex, area 43)"
PoPC,DHBA,posterior parietal cortex
SPC,DHBA,posterodorsal (superior) parietal cortex
A5,DHBA,rostral division of SPC (area 5)
A5ci,DHBA,cingulate subdivision of area 5
A5ci1,DHBA,layer I of area 5ci
A5ci2,DHBA,layer II of area 5ci
A5ci3,DHBA,layer III of area 5ci
A5ci4,DHBA,layer IV of area 5ci
A5ci5,DHBA,layer V of area 5ci
A5ci6,DHBA,layer VI of area 5ci
A5l,DHBA,lateral subdivision of area 5
A5l1,DHBA,layer I of area 5l
A5l2,DHBA,layer II of area 5l
A5l3,DHBA,layer III of area 5l
A5l4,DHBA,layer IV of area 5l
A5l5,DHBA,layer V of area 5l
A5l6,DHBA,layer VI of area 5l
A5m,DHBA,medial subdivision of area 5
A5m1,DHBA,layer I of area 5m
A5m2,DHBA,layer II of area 5m
A5m3,DHBA,layer III of area 5m
A5m4,DHBA,layer IV of area 5m
A5m5,DHBA,layer V of area 5m
A5m6,DHBA,layer VI of area 5m
A7,DHBA,rostal deivision of SPC (area 7)
A7r,DHBA,rostral subdivision of area 7
A7r1,DHBA,layer I of area 7r
A7r2,DHBA,layer II of area 7r
A7r3,DHBA,layer III of area 7r
A7r4,DHBA,layer IV of area 7r
A7r5,DHBA,layer V of area 7r
A7r6,DHBA,layer VI of area 7r
A7m,DHBA,medial subdivision of area 7
A7m1,DHBA,layer I of area 7m
A7m2,DHBA,layer II of area 7m
A7m3,DHBA,layer III of area 7m
A7m4,DHBA,layer IV of area 7m
A7m5,DHBA,layer V of area 7m
A7m6,DHBA,layer VI of area 7m
A7c,DHBA,caudal subdivision of area 7
A7c1,DHBA,layer I of area 7c
A7c2,DHBA,layer II of area 7c
A7c3,DHBA,layer III of area 7c
A7c4,DHBA,layer IV of area 7c
A7c5,DHBA,layer V of area 7c
A7c6,DHBA,layer VI of area 7c
A7pc,DHBA,postcentral subdivision of area 7
A7pc1,DHBA,layer I of area 7pc
A7pc2,DHBA,layer II of area 7pc
A7pc3,DHBA,layer III of area 7pc
A7pc4,DHBA,layer IV of area 7pc
A7pc5,DHBA,layer V of area 7pc
A7pc6,DHBA,layer VI of area 7pc
A7ip,DHBA,"intraparietal subdivision of area 7, LIP"
A7ipr,DHBA,"area 7ip, rostral part (A7ipr)"
A7ipr1,DHBA,layer I of area 7ipr
A7ipr2,DHBA,layer II of area 7ipr
A7ipr3,DHBA,layer III of area 7ipr
A7ipr4,DHBA,layer IV of area 7ipr
A7ipr5,DHBA,layer V of area 7ipr
A7ipr6,DHBA,layer VI of area 7ipr
A7ipc,DHBA,"area 7ip, caudal part (A7ipc)"
A7ipc1,DHBA,layer I of area 7ipc
A7ipc2,DHBA,layer II of area 7ipc
A7ipc3,DHBA,layer III of area 7ipc
A7ipc4,DHBA,layer IV of area 7ipc
A7ipc5,DHBA,layer V of area 7ipc
A7ipc6,DHBA,layer VI of area 7ipc
IPC,DHBA,posteroventral (inferior) parietal cortex
A40,DHBA,rostral division of IPC (area 40)
A40rd,DHBA,rostrodorsal subdivision of area 40
A40rd1,DHBA,layer I of area 40rd
A40rd2,DHBA,layer II of area 40rd
A40rd3,DHBA,layer III of area 40rd
A40rd4,DHBA,layer IV of area 40rd
A40rd5,DHBA,layer V of area 40rd
A40rd6,DHBA,layer VI of area 40rd
A40rv,DHBA,rostroventral subdivision of area 40
A40rv1,DHBA,layer I of area 40rv
A40rv2,DHBA,layer II of area 40rv
A40rv3,DHBA,layer III of area 40rv
A40rv4,DHBA,layer IV of area 40rv
A40rv5,DHBA,layer V of area 40rv
A40rv6,DHBA,layer VI of area 40rv
A40in,DHBA,inferior subdivision of area 40
A40in1,DHBA,layer I of area 40in
A40in2,DHBA,layer II of area 40in
A40in3,DHBA,layer III of area 40in
A40in4,DHBA,layer IV of area 40in
A40in5,DHBA,layer V of area 40in
A40in6,DHBA,layer VI of area 40in
A40.39,DHBA,intermediate division of IPC (area 40/39)
A40/39r,DHBA,rostral subdivision of area 40/39
A40/39r1,DHBA,layer I of area 40/39r
A40/39r2,DHBA,layer II of area 40/39r
A40/39r3,DHBA,layer III of area 40/39r
A40/39r4,DHBA,layer IV of area 40/39r
A40/39r5,DHBA,layer V of area 40/39r
A40/39r6,DHBA,layer VI of area 40/39r
A40/39c,DHBA,caudal subdivision of area 40/39
A40/39c1,DHBA,layer I of area 40/39c
A40/39c2,DHBA,layer II of area 40/39c
A40/39c3,DHBA,layer III of area 40/39c
A40/39c4,DHBA,layer IV of area 40/39c
A40/39c5,DHBA,layer V of area 40/39c
A40/39c6,DHBA,layer VI of area 40/39c
A39,DHBA,caudal division of IPC (area 39)
A39r,DHBA,rostral subdivision of area 39
A39r1,DHBA,layer I of area 39r
A39r2,DHBA,layer II of area 39r
A39r3,DHBA,layer III of area 39r
A39r4,DHBA,layer IV of area 39r
A39r5,DHBA,layer V of area 39r
A39r6,DHBA,layer VI of area 39r
A39c,DHBA,caudal subdivision of area 39
A39c1,DHBA,layer I of area 39c
A39c2,DHBA,layer II of area 39c
A39c3,DHBA,layer III of area 39c
A39c4,DHBA,layer IV of area 39c
A39c5,DHBA,layer V of area 39c
A39c6,DHBA,layer VI of area 39c
RI,DHBA,retroinsular cortex
TCx,DHBA,Temporal neocortex
DLTC,DHBA,dorsolateral temporal neocortex
AuA1,"[Paxinos, 2012]",Caudal core field
AuAL,"[Paxinos, 2012]",anterolateral belt
AuCL,"[Paxinos, 2012]",caudolateral belt
AuCM,"[Paxinos, 2012]",caudomedial belt
AuML,"[Paxinos, 2012]",middle lateral belt
AuMM,"[Paxinos, 2012]",middle medial belt
AuR,"[Paxinos, 2012]",rostral auditory core field
AuRM,"[Paxinos, 2012]",rostromedial belt
AuRTL,"[Paxinos, 2012]",rostrotemporal-lateral belt
AuRTM,"[Paxinos, 2012]",rostrotemporal-medial belt
A1C,DHBA,primary auditory cortex(core)
A41,DHBA,"main portion of A1C(area TC, area 41)"
A41-1,DHBA,layer I of area 41
A41-2,DHBA,layer II of area 41
A41-3,DHBA,layer III of area 41
A41-4,DHBA,layer IV of area 41
A41-5,DHBA,layer V of area 41
A41-6,DHBA,layer VI of area 41
A1Cr,DHBA,rostal portion of A1C; RT; AuRT
A1Cr1,DHBA,layer I of rostral primary auditory cortex
A1Cr2,DHBA,layer II of rostral primary auditory cortex
A1Cr3,DHBA,layer III of rostral primary auditory cortex
A1Cr4,DHBA,layer IV of rostral primary auditory cortex
A1Cr5,DHBA,layer V of rostral primary auditory cortex
A1Cr6,DHBA,layer VI of rostral primary auditory cortex
A42,DHBA,"secodary auditory cortex (belt, area 42)"
A42-1,DHBA,layer I of area 42
A42-2,DHBA,layer II of area 42
A42-3,DHBA,layer III of area 42
A42-4,DHBA,layer IV of area 42
A42-5,DHBA,layer V of area 42
A42-6,DHBA,layer VI of area 42
SLTC,DHBA,superolateral temporal cortex
